type,subtype,name,F Day,F Night,H Day,H Night,M Day,M Night,freq.glob,standard,RT,RI,CAS
aliphatic,ester,hexyl acetate,0.33838465664443135,0.49509458896028824,0.050094580675333,0.2557662451293531,0.28121187131208314,0.2569128556898387,0.6,Hexenol,7.989,979.4295117937465,142-92-7
aliphatic,ester,hexyl carbonochloridate,0.09540824123707814,0.06344182070037195,0.04159206529981693,0.03275168989359229,0.08094101406268626,0.058663458134196225,0.14,Hexenol,6.063,871.6320474777448,6092-54-2
aliphatic,ester,[(E)-hex-3-enyl] acetate,0.1494431798864485,0.6616066724009698,0,0,0.44020248055961386,0.3728561375262855,0.11,Hexenol,8.462,1006.0419235511713,3681-82-1
aliphatic,ether,2-(methoxymethyl)oxirane,0.07262266051612037,0.12834764950069588,0.031176795868665407,0.03597513518369324,0.08703096703973508,0.1931527798627474,0.51,Hexenol,4.953,805.7566765578636,930-37-0
aliphatic,ketone,acetoin,7.436412343274591,13.623527075362045,3.1403796226884593,4.4237670953513994,11.653679049981609,26.2429583493059,1,Hexenol,3.367,705.6998100063331,513-86-0
aliphatic,ketone,"butane-2,3-dione",5.26923083487916,12.506524438814179,3.0358984061988217,7.5491247989484,7.326184662772553,17.39319482028566,0.99,Hexenol,2.1495,NA,431-03-8
aliphatic,ketone,2-ethylcyclopentan-1-one,0.1424877947352247,0.13566312795076016,0.23675614875500683,0.1841522833635007,0.26224567240802416,0.12577205673718858,0.8,Hexenol,7.308,942.0735052111903,4971-18-0
aliphatic,ketone,"pentane-2,3-dione",0.24701734855059687,0.837109073439688,0.10522274514866571,0.6916578067979429,0.3544658207687019,1.374697152997942,0.73,Hexenol,3.156,689.1771019677997,600-14-6
aliphatic,ketone,"heptane-2,3-dione",0.009984203629918389,0.6759414239558634,0.029365598351312312,3.054113988087778,0.06929392361711122,0.9144436630843995,0.48,Hexenol,5.457,835.6676557863501,96-04-8
aliphatic,ketone,2-methylpentan-3-one,0.019513111510924976,0.010104795139110303,0.08701277678009617,0.030286379065310495,0.007822558490483831,0.013192778257847322,0.35,Hexenol,3.9915,745.2501583280557,565-69-5
aliphatic,ketone,"hexane-2,3-dione",0,0.023477810487448094,0,0.02258415532704675,0.021872716273598977,0.06246252905732416,0.13,Hexenol,3.9025,739.6136795440152,3848-24-6
aliphatic,ketone,"cyclopentane-1,2-dione",0.005075319834111375,0.004734941463551174,0,0,0.29316134891558393,0.01296285088428866,0.12,Hexenol,7.066,928.7986834887547,3008-40-0
benzenoid,aldehyde,phenylacetaldehyde,1.3066083390200085,4.146869278107391,0.5513368827784313,6.567120072792099,2.3436019323732333,10.332018401938702,0.94,Benzaldehyde,9.133,1047.410604192355,122-78-1
benzenoid,carboxylic acid,8-oxo-8-phenyloctanoic acid,0.18853883500265536,0.19688564061289743,0,0,0.021892046406812804,0.1960458229766758,0.24,Methyl_salicylate,9.5265,1071.6707768187423,66147-75-9
benzenoid,ether,anisole,0.13601597066707102,0.04478825885586455,0.0653401078370979,0.04268610747594755,0.15004245725130513,0.03577451517812041,0.66,Methyl_salicylate,6.921,920.8447613823367,100-66-3
N-compound,aldoxime,(E)-3-methylbutyraldoxime,4.735261510980978,10.50114540094336,4.188686782868282,11.051199438514296,10.30690876115446,16.055655077761823,0.96,Hexenol,6.163,877.566765578635,626-90-4
N-compound,aldoxime,(Z)-isobutyraldoxime,0.7196262743886879,1.8470645939699215,0.36433939012320177,1.2011172394888707,1.1429488808775383,3.1406768857798077,0.79,Hexenol,4.149,755.2248258391387,5780-39-2
N-compound,aldoxime,2-methylbutyraldoxime,0.03575834176940655,0.11283307699743401,0.011410892470063294,0.07591916572053731,0.07376493707431746,0.16814730559083677,0.61,Hexenol,5.997,867.7151335311572,49805-56-3
N-compound,aldoxime,(Z)-3-methylbutyraldoxime,3.3386798710829098,12.291246814101942,1.845367115850843,4.230139608288868,8.656882582151077,16.01514042507343,0.52,Hexenol,5.873,860.3560830860534,5780-40-5
N-compound,aldoxime,(E)-isobutyraldoxime,0.04041145721053399,0.03982877096091759,0.04873490853814432,0.25666294837768283,0.026359624543889393,0,0.17,Hexenol,4.108,752.6282457251425,151-00-8
N-compound,nitrile,isovaleronitrile,0.8283172581062261,1.2858006352807692,0.8690073964040663,1.2202914156955815,1.866659012406112,2.1841833098764205,0.96,Hexenol,3.663,724.4458518049398,625-28-5
N-compound,nitrile,isobutyronitrile,0.08123620510975475,0.08989908487286963,0.03456054847169332,0.07113826137734745,0.11229578088728204,0.1428538106266228,0.74,Hexenol,2.43,624.2397137745975,78-82-0
N-compound,nitrile,2-methylbutanenitrile,0.00779842822422932,0.01505848887594043,0.0025077574752997056,0.012478058263810564,0.02470058949369266,0.04101400399327126,0.37,Hexenol,3.571,718.6193793540216,18936-17-9
N-compound,nitroalkane,1-nitropentane,1.2424155043521579,3.7006863583853633,0.9679344694301981,2.3242004882746645,2.064056376293975,6.123054419259722,0.78,Hexenol,6.628,904.7723532638507,628-05-7
N-compound,nitroalkane,2-nitropentane,0.002528295144806461,0.06905213193844939,0,0.12548615545345893,0.05731863498325434,0.1450037838653299,0.34,Hexenol,6.569,901.5359297860668,4609-89-6
N-compound,pyrazine,"2,3,5,6-tetramethylpyrazine",0.14294145787618615,0.24266311021202508,0,0,0.4507681203855265,0.3381103737063335,0.2,Hexenol,9.8455,1091.3378545006165,1124-11-4
terpene,acyclic monoterpene alcohol,linalool,1.5013707373427407,0.8238915604586224,0.4995261157328615,0.34731691643382717,1.3856590962988478,0.8356395877642162,0.8,Linalool,10.021,1102.2421524663678,78-70-6
terpene,acyclic monoterpene alcohol,epoxydihydrolinalool,0.005767729654031584,0.020073640605455,0.01773000272281453,0.016659557350447825,0.0296338900025494,0.010567485932184347,0.11,Linalool,9.871,1092.9099876695439,NA
terpene,cyclic monoterpene,a-thujene,0.2364280930682264,0.2593418984502719,0,0.4501157919362604,0.19911617548102659,0.8466099942526254,0.12,alpha_Pinene,8.467,1006.3501849568433,2867-05-2
terpene,cyclic monoterpene alcohol,linalool oxide (pyranoid),0.8048499978569119,0.9549903503925058,0.20878414150674798,0.221896032901397,0.9277729041041174,0.8995735411324968,0.46,alpha_Pinene,11.191,1177.1941063420884,39028-58-5
terpene,cyclic monoterpene alcohol,linalool oxide (pyranoid) ketone,1.2828961773209355,0.5636131221631789,0.5892546972526165,0.6721562262997391,0.4611944119689041,0.2236983297215057,0.43,alpha_Pinene,10.173,1111.9795003203074,33933-72-1
terpene,cyclic monoterpene alcohol,linalool oxide (furanoid).1,0.28045704186765263,0.20108290195058467,0.21037101369560726,0.17754900559403516,0.5012445895686919,0.5661776129626775,0.11,alpha_Pinene,9.871,1092.9099876695439,34995-77-2
terpene,cyclic sesquiterpene,bergamotene,1.0754581977842534,0.44533297103966774,0,0,0.9082480843079004,0.29826856552391184,0.16,Caryophyllene,15.1175,1460.1877199843566,15438-94-5
terpene,homoterpene,DMNT,3.172282663059242,1.2178449385532748,1.6596588768200005,1.8694765886174842,4.646433497589548,3.5241053377122364,0.92,Linalool,10.272,1118.321588725176,19945-61-0
