"","name","mean","max","match.var","match","RT.var","RT","count.ambient","freq.ambient","count.blank","freq.blank","count.floral","freq.floral","count.adamantis","freq.adamantis","count.apokremnos","freq.apokremnos","count.attenuata","freq.attenuata","count.globosa","freq.globosa","count.haleakalensis","freq.haleakalensis","count.hookeri","freq.hookeri","count.jacobii","freq.jacobii","count.kaalae","freq.kaalae","count.kaho","freq.kaho","count.kauaiensis","freq.kauaiensis","count.kealiae","freq.kealiae","count.laui","freq.laui","count.ligustrina","freq.ligustrina","count.lydgatei","freq.lydgatei","count.mannii","freq.mannii","count.membranacea","freq.membranacea","count.menziesii","freq.menziesii","count.nuttalii","freq.nuttalii","count.obovata","freq.obovata","count.perlmanii","freq.perlmanii","count.salicaria","freq.salicaria","count.salmen","freq.salmen","count.sarmentosa","freq.sarmentosa","count.spergulina","freq.spergulina","count.stellarioides","freq.stellarioides","count.trinervis","freq.trinervis","count.verticillata","freq.verticillata","count.viscosa","freq.viscosa","filter_RT","filter_match","filter_freq.floral","filter_contaminant","filter_area","filter_ambient_ratio","ambient_ratio","filter_ambient_ttest","filters_passed","filter_final"
"21",".alpha.-Phellandrene",30970.2478920742,7518727,0.0015474358974359,0.89,0.000168423076923072,8.466,0,0,0,0,13,0.0219224283305228,1,0.0454545454545455,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0416666666666667,9,0.105882352941176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,"OK","OK","Rare","OK","OK","OK",Inf,"OK",6,TRUE
"22",".alpha.-Phellandrene, dimer",8633.15177065767,2890074,3.33333333333334e-05,0.71,5.70000000000043e-05,19.094,0,0,1,0.0117647058823529,2,0.00337268128161889,0,0,0,0,0,0,1,0.00714285714285714,0,0,0,0,0,0,1,0.0416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"High","Low","Rare","OK","Low","OK",Inf,"OK",3,FALSE
"23",".alpha.-Pinene",217.720067453626,63184,0.000691666666666668,0.745,0.000146999999999995,7.2455,0,0,1,0.0117647058823529,3,0.00505902192242833,0,0,0,0,0,0,3,0.0214285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OK","Low","Rare","OK","Low","OK",Inf,"OK",4,FALSE
"24",".alpha.-Pyrrolidone, 5-[4-acetylbutyl]-",8304.40640809444,564046,0.00078835978835979,0.745,2.22539682539692e-05,12.1075,1,0.037037037037037,0,0,27,0.045531197301855,0,0,0,0,2,0.285714285714286,3,0.0214285714285714,0,0,2,0.0769230769230769,0,0,4,0.166666666666667,3,0.0352941176470588,3,0.1875,0,0,0,0,0,0,1,0.0909090909090909,0,0,0,0,1,0.032258064516129,1,0.166666666666667,1,0.0555555555555556,1,0.25,0,0,0,0,0,0,4,0.129032258064516,0,0,0,0,1,0.1,0,0,"OK","Low","Rare","OK","Low","AmRatioFail",1.46191945791339,"tTestFail",2,FALSE
"25",".alpha.-Pyrrolidone, 5-[4-acetylbutyl]-N-methyl-",228.328836424958,135399,NA,0.8,NA,9.292,0,0,0,0,1,0.00168634064080944,0,0,0,0,0,0,1,0.00714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OK","OK","Rare","OK","Low","OK",Inf,"OK",5,FALSE
"26",".alpha.-Santoline alcohol",177.435075885329,105219,NA,0.73,NA,11.149,0,0,0,0,1,0.00168634064080944,0,0,0,0,0,0,0,0,0,0,1,0.0384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OK","Low","Rare","OK","Low","OK",Inf,"OK",4,FALSE
"27",".alpha.-Terpineol",283.532883642496,81995,1e-04,0.76,0.0236763333333334,7.519,0,0,0,0,3,0.00505902192242833,0,0,0,0,0,0,0,0,0,0,1,0.0384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.032258064516129,1,0.0769230769230769,0,0,0,0,0,0,"OK","Low","Rare","OK","Low","OK",Inf,"OK",4,FALSE
"28",".alpha.-Terpinyl isovalerate",86.3507588532884,51206,NA,0.75,NA,7.239,0,0,0,0,1,0.00168634064080944,0,0,0,0,0,0,1,0.00714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OK","Low","Rare","OK","Low","OK",Inf,"OK",4,FALSE
"29",".alpha.,.alpha.-Dichloroacetophenone",291.006745362563,172567,NA,0.86,NA,11.151,0,0,0,0,1,0.00168634064080944,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OK","OK","Rare","OK","Low","OK",Inf,"OK",5,FALSE
"30",".alpha.,.alpha.-Dimethyl-.beta.-methylsuccinimide",629.377740303541,373221,NA,0.78,NA,8.035,0,0,0,0,1,0.00168634064080944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.032258064516129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OK","Low","Rare","OK","Low","OK",Inf,"OK",4,FALSE
