n,name,name2,initials,IUPAC,type,subtype,mean,freq.glob
148,Linalyl isobutyrate,,,,,,0.007,0.01
149,"N,N'-Dibutylidene-hydrazine",,,,,,0.000,0.00
150,"Nonane, 4-ethyl-5-methyl-",,,,,,0.000,0.00
151,"Nonane, 5-propyl-",,,,,,0.026,0.04
152,Octadecanal,,,,,,0.000,0.00
153,"Octane, 2-chloro-",,,,,,0.000,0.00
154,"Octane, 2,3,7-trimethyl-",,,,,,0.070,0.03
155,"Octane, 2,5-dimethyl-",,,,,,0.009,0.01
156,"Octanoic acid, 7-oxo-",,ooad,7-oxooctanoic acid,aliphatic,carboxylic acid,0.116,0.06
157,"Oxalic acid, isobutyl hexadecyl ester",,,,,,0.004,0.01
158,"Oxalic acid, isobutyl tetradecyl ester",,,,,,0.000,0.00
159,"Oxetane, 2-ethyl-3-methyl-",,,,,,0.021,0.02
160,"Oxirane, (methoxymethyl)-",,2mmo,2-(methoxymethyl)oxirane,aliphatic,ether,0.703,0.51
161,"Pentane, 1-nitro-",,npen,1-nitropentane,N-compound,nitroalkane,21.987,0.78
162,"Pentane, 2-nitro-",,2npe,2-nitropentane,N-compound,nitroalkane,0.546,0.34
163,"Pentane, 2,3-dimethyl-",,23mp,"2,3-dimethylpentane",aliphatic,alkane,0.275,0.21
164,"Pentanethioic acid, S-propyl ester",,,,,,0.000,0.00
165,"Pentanoic acid, 4-methyl-2-oxo-, methyl ester",,mmop,methyl 4-methyl-2-oxopentanoate,aliphatic,ester,0.334,0.05
166,Pentyl phenylacetate,,ppac,pentyl 2-phenylacetate,benzenoid,ester,0.642,0.06
167,"Phenol, 2,4,6-tris(1-methylethyl)-",,,,,,0.000,0.00
168,"Phenol, 4,6-di(1,1-dimethylethyl)-2-methyl-",,,,,,0.197,0.04
169,Phenylethyl Alcohol,,,,,,0.000,0.00
170,"Propanal, 2-methyl-, oxime",(E)-isobutyraldoxime,Eiba,N-(2-methylpropylidene)hydroxylamine,N-compound,aldoxime,0.258,0.17
171,"Propane, 1,1-dipropoxy-",,,,,,0.048,0.02
172,"Propanoic acid, 2-hydroxy-2-methyl-, methyl ester",,mhmp,methyl 2-hydroxy-2-methylpropanoate,aliphatic,ester,0.917,0.01
173,"Propanoic acid, 2-methyl-",,,,,,0.014,0.04
174,"Propyl aldoxime, 2-methyl-, syn-",(Z)-isobutyraldoxime,Ziba,N-(2-methylpropylidene)hydroxylamine,N-compound,aldoxime,11.684,0.79
175,"Pyrazine, tetramethyl-",,tmpy,"2,3,5,6-tetramethylpyrazine",N-compound,pyrazine,1.571,0.20
176,"Spirobicyclo[2.2.1]heptane-2,2'-(1',3'-dioxa-2'-oxocyclohex-5'-ene)], 1,6',7,7-tetramethyl-",,,,,,0.000,0.00
